term,public_analytics_candidate,public_recovered_count,public_recovered_examples,sources
bayesian hierarchical modeling,True,0,,public_analytics
behavioral modeling,True,1,and behavioral modeling and simulation for bfs/retail,"public_analytics,public_recovered"
data mining,True,3,agile work environment - data mining | data mining and statistical analysis | data mining expertise sql required,"public_analytics,public_recovered"
data modeling,True,2,conceptual and logical data modeling | data modeling and hypothesis generation,"public_analytics,public_recovered"
linear regression,True,0,,public_analytics
logistic regression,True,0,,public_analytics
machine learning algorithms,True,0,,public_analytics
natural language processing,False,4,experience with nlp technologies/data science in a clinical background | 1 python 2 nlp 3 deep learning | at least 2 to 4 years professional experience in nlp,public_recovered
predictive modeling,True,1,building predictive models - r,"public_analytics,public_recovered"
statistical analysis,True,2,data mining and statistical analysis | statistical analysis and data driven insights,"public_analytics,public_recovered"
